Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Media de Bytes
Temperatura,1200,1088,20,2044,402.71,0.00%,476.8,94.05,202.0
Energia,1200,30,1,1601,167.52,0.00%,19.7,3.95,205.1
Caudal,1200,14,1,1075,82.83,0.00%,20.0,3.87,198.0
Petición HTTP,100,22,1,1357,141.60,0.00%,1.7,0.36,218.0
Total,3700,368,1,2044,559.97,0.00%,60.3,11.90,202.1
