Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Media de Bytes
Petición HTTP,2400,1573,181,3108,662.31,0.00%,633.6,139.83,226.0
Total,2400,1573,181,3108,662.31,0.00%,633.6,139.83,226.0
