Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Media de Bytes
Petición HTTP,3600,2721,178,4772,931.35,16.03%,709.1,340.73,492.1
Total,3600,2721,178,4772,931.35,16.03%,709.1,340.73,492.1
